Ratio,Linear,Perm,Angle,Loss,,
0,0.995±0.000,0.859±0.103,0.046±0.000,6.054±0.009,,
0.1,0.997±0.000,0.836±0.115,0.036±0.001,6.179±0.009,,
0.2,0.999±0.000,0.838±0.036,0.020±0.000,6.295±0.007,,
0.3,1.000±0.000,0.827±0.043,0.005±0.001,6.382±0.005,,
0.4,0.999±0.000,0.811±0.077,0.014±0.001,6.462±0.006,,
0.5,0.997±0.000,0.834±0.028,0.034±0.001,6.525±0.009,,
0.6,0.991±0.001,0.818±0.055,0.055±0.003,6.585±0.005,,
0.7,0.979±0.001,0.758±0.064,0.079±0.001,6.627±0.008,,
0.8,0.958±0.002,0.775±0.096,0.106±0.002,6.671±0.005,,
0.9,0.904±0.002,0.703±0.068,0.138±0.002,6.681±0.010,,
1,0.680±0.050,0.590±0.026,0.158±0.001,6.691±0.011,,
