Ratio,Linear,Perm,Angle,Loss,,
0,0.112±0.130,0.125±0.082,0.310±0.032,5.706±0.001,,
0.1,0.293±0.032,0.364±0.035,0.269±0.009,6.064±0.002,,
0.2,0.299±0.031,0.362±0.021,0.268±0.006,6.216±0.006,,
0.3,0.201±0.029,0.336±0.029,0.293±0.006,6.322±0.002,,
0.4,0.452±0.068,0.542±0.084,0.235±0.017,6.401±0.006,,
0.5,0.487±0.126,0.537±0.136,0.223±0.029,6.468±0.002,,
0.6,0.461±0.047,0.496±0.058,0.228±0.010,6.525±0.003,,
0.7,0.333±0.123,0.394±0.085,0.255±0.029,6.573±0.003,,
0.8,0.350±0.092,0.408±0.079,0.249±0.022,6.617±0.013,,
0.9,0.457±0.006,0.483±0.035,0.221±0.001,6.658±0.005,,
1,0.650±0.029,0.592±0.085,0.155±0.002,6.697±0.005,,
