Ratio,Linear,Perm,Angle,Loss,,
0,0.265±0.031,0.275±0.031,0.280±0.008,5.170±0.014,,
0.1,0.651±0.058,0.636±0.078,0.187±0.016,5.497±0.009,,
0.2,0.763±0.073,0.670±0.068,0.146±0.021,5.617±0.007,,
0.3,0.820±0.010,0.711±0.076,0.126±0.003,5.688±0.007,,
0.4,0.745±0.098,0.664±0.079,0.148±0.029,5.762±0.008,,
0.5,0.737±0.094,0.699±0.069,0.149±0.028,5.827±0.008,,
0.6,0.719±0.084,0.660±0.092,0.151±0.024,5.883±0.007,,
0.7,0.731±0.057,0.657±0.049,0.145±0.014,5.932±0.012,,
0.8,0.681±0.050,0.649±0.095,0.157±0.010,5.972±0.011,,
0.9,0.675±0.034,0.663±0.094,0.152±0.006,6.014±0.006,,
1,0.633±0.016,0.624±0.035,0.154±0.002,6.028±0.009,,
